NEIGHBOURHOOD,RATING
arbutus ridge,8.36
central business district,8.65
dunbar - southlands,8.57
fairview,8.829999999999998
grandview - woodland,9.069999999999999
hastings - sunrise,8.970000000000002
kensington - cedar cottage,9.16
kerrisdale,8.429999999999998
killarney,8.39
kitsilano,8.889999999999999
marpole,8.419999999999998
mount pleasant,8.870000000000003
musqueam,8.370000000000001
oakridge,7.840000000000001
renfrew - collingwood,8.669999999999998
riley park,8.9
shaughnessy,9
south cambie,8.809999999999999
stanley park,8.78
strathcona,9.03
sunset,9.079999999999998
victoria - fraserview,8.819999999999999
west end,8.91
west point grey,8.650000000000002
